domain,email,source_url,source_type,source_kind,found_in,crawl_depth,confidence_score,confidence_label,reason_flags,sighting_count,verification_status,deliverability_confidence,resolved_company_domain,identity_confidence,delivery_state,confidence_band,finding_type
digitalnomadshq.com.au,hello@dnhq.com.au,https://digitalnomadshq.com.au/,httpx,site_page,jsonld,0,100,high,site_source|useful_mailbox|domain_mismatch|sightings_13|verified|band:tier_a,13,verified,90,digitalnomadshq.com.au,40,valid,tier_a,observed
digitalnomadshq.com.au,support@dnhq.com.au,https://digitalnomadshq.com.au/privacy-policy/,httpx,site_page,html,1,92,high,site_source|useful_mailbox|domain_mismatch|sightings_1|verified|band:tier_b,1,verified,90,digitalnomadshq.com.au,40,valid,tier_b,observed
digitalnomadshq.com.au,nomadsnetwork@dnhq.com.au,https://digitalnomadshq.com.au/networking-events/,httpx,site_page,microdata,1,82,high,site_source|untyped_mailbox|domain_mismatch|sightings_1|verified|band:tier_b,1,verified,90,digitalnomadshq.com.au,40,valid,tier_b,observed
digitalnomadshq.com.au,hello@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,role_probe,0,77,high,inferred_candidate|useful_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,contact@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,role_probe,0,77,high,inferred_candidate|useful_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,sales@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,role_probe,0,77,high,inferred_candidate|useful_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,support@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,role_probe,0,77,high,inferred_candidate|useful_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,team@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,role_probe,0,77,high,inferred_candidate|useful_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,info@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,role_probe,0,70,medium,inferred_candidate|generic_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,hi@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,role_probe,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,media@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,role_probe,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,press@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,role_probe,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,digital.coast@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,pattern_first_dot_last,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,digitalcoast@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,pattern_concat,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,dcoast@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,pattern_f_initial,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,digital.ltd@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,pattern_first_dot_last,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,digitalltd@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,pattern_concat,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,dltd@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,pattern_f_initial,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,benjamin.paine@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,pattern_first_dot_last,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,benjaminpaine@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,pattern_concat,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,bpaine@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,pattern_f_initial,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,digital.hq@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,pattern_first_dot_last,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,digitalhq@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,pattern_concat,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,dhq@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,pattern_f_initial,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,about.hq@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,pattern_first_dot_last,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,abouthq@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,pattern_concat,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
digitalnomadshq.com.au,ahq@digitalnomadshq.com.au,https://digitalnomadshq.com.au/,inferred,pattern_inferred,pattern_f_initial,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,digitalnomadshq.com.au,90,valid,tier_c,inferred
hawksem.com,hello@hawksem.com,https://hawksem.com/,inferred,pattern_inferred,role_probe,0,77,high,inferred_candidate|useful_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,hawksem.com,90,valid,tier_c,inferred
hawksem.com,contact@hawksem.com,https://hawksem.com/,inferred,pattern_inferred,role_probe,0,77,high,inferred_candidate|useful_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,hawksem.com,90,valid,tier_c,inferred
hawksem.com,sales@hawksem.com,https://hawksem.com/,inferred,pattern_inferred,role_probe,0,77,high,inferred_candidate|useful_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,hawksem.com,90,valid,tier_c,inferred
hawksem.com,support@hawksem.com,https://hawksem.com/,inferred,pattern_inferred,role_probe,0,77,high,inferred_candidate|useful_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,hawksem.com,90,valid,tier_c,inferred
hawksem.com,team@hawksem.com,https://hawksem.com/,inferred,pattern_inferred,role_probe,0,77,high,inferred_candidate|useful_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,hawksem.com,90,valid,tier_c,inferred
hawksem.com,error-lite@duckduckgo.com,https://duckduckgo.com/html/?q=%22hawksem.com%22+%22email%22,osint,search_snippet,snippet_regex,0,72,medium,osint_source|untyped_mailbox|domain_mismatch|sightings_1|verified|band:tier_c,1,verified,90,hawksem.com,40,valid,tier_c,observed
hawksem.com,info@hawksem.com,https://hawksem.com/,inferred,pattern_inferred,role_probe,0,70,medium,inferred_candidate|generic_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,hawksem.com,90,valid,tier_c,inferred
hawksem.com,hi@hawksem.com,https://hawksem.com/,inferred,pattern_inferred,role_probe,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,hawksem.com,90,valid,tier_c,inferred
hawksem.com,media@hawksem.com,https://hawksem.com/,inferred,pattern_inferred,role_probe,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,hawksem.com,90,valid,tier_c,inferred
hawksem.com,press@hawksem.com,https://hawksem.com/,inferred,pattern_inferred,role_probe,0,67,medium,inferred_candidate|untyped_mailbox|domain_match_exact|sightings_1|verified|band:tier_c,1,verified,90,hawksem.com,90,valid,tier_c,inferred
